Country or Area,Subgroup,Children left in inadequate care
Afghanistan,Total,40.0
Afghanistan,Female,39.0
Afghanistan,Male,42.0
Afghanistan,Poorest 20%,43.0
Afghanistan,Richest 20%,27.0
Albania,Total,13.0
Albania,Female,11.0
Albania,Male,14.0
Albania,Poorest 20%,9.0
Albania,Richest 20%,16.0
Belize,Total,2.0
Belize,Female,2.0
Belize,Male,3.0
Belize,Poorest 20%,4.0
Belize,Richest 20%,1.0
Bhutan,Total,14.0
Bhutan,Female,15.0
Bhutan,Male,13.0
Bhutan,Poorest 20%,17.0
Bhutan,Richest 20%,7.0
Bosnia and Herzegovina,Total,7.0
Bosnia and Herzegovina,Female,6.0
Bosnia and Herzegovina,Male,7.0
Bosnia and Herzegovina,Poorest 20%,6.0
Bosnia and Herzegovina,Richest 20%,10.0
Cameroon,Total,36.0
Cameroon,Female,36.0
Cameroon,Male,36.0
Cameroon,Poorest 20%,45.0
Cameroon,Richest 20%,25.0
Central African Republic,Total,61.0
Central African Republic,Female,62.0
Central African Republic,Male,60.0
Central African Republic,Poorest 20%,58.0
Central African Republic,Richest 20%,60.0
Chad,Total,56.0
Chad,Female,56.0
Chad,Male,57.0
Chad,Poorest 20%,58.0
Chad,Richest 20%,56.0
Côte d'Ivoire,Total,59.0
Côte d'Ivoire,Female,58.0
Côte d'Ivoire,Male,60.0
Côte d'Ivoire,Poorest 20%,62.0
Côte d'Ivoire,Richest 20%,51.0
Democratic People's Republic of Korea,Total,17.0
Democratic People's Republic of Korea,Female,16.0
Democratic People's Republic of Korea,Male,17.0
Democratic Republic of the Congo,Total,60.0
Democratic Republic of the Congo,Female,60.0
Democratic Republic of the Congo,Male,60.0
Democratic Republic of the Congo,Poorest 20%,69.0
Democratic Republic of the Congo,Richest 20%,39.0
Djibouti,Total,12.0
Djibouti,Female,13.0
Djibouti,Male,11.0
Gambia,Total,21.0
Gambia,Female,19.0
Gambia,Male,22.0
Gambia,Poorest 20%,25.0
Gambia,Richest 20%,18.0
Georgia,Total,8.0
Georgia,Female,8.0
Georgia,Male,8.0
Georgia,Poorest 20%,7.0
Georgia,Richest 20%,8.0
Ghana,Total,21.0
Ghana,Female,21.0
Ghana,Male,21.0
Ghana,Poorest 20%,27.0
Ghana,Richest 20%,15.0
Guyana,Total,11.0
Guyana,Female,10.0
Guyana,Male,13.0
Guyana,Poorest 20%,19.0
Guyana,Richest 20%,6.0
Jamaica,Total,4.0
Jamaica,Female,3.0
Jamaica,Male,4.0
Kazakhstan,Total,4.0
Kazakhstan,Female,4.0
Kazakhstan,Male,4.0
Kazakhstan,Poorest 20%,5.0
Kazakhstan,Richest 20%,4.0
Kyrgyzstan,Total,11.0
Kyrgyzstan,Female,9.0
Kyrgyzstan,Male,12.0
Kyrgyzstan,Poorest 20%,11.0
Kyrgyzstan,Richest 20%,6.0
Lao People's Democratic Republic,Total,26.0
Lao People's Democratic Republic,Female,25.0
Lao People's Democratic Republic,Male,26.0
Lao People's Democratic Republic,Poorest 20%,33.0
Lao People's Democratic Republic,Richest 20%,17.0
Lebanon,Total,9.0
Lebanon,Female,10.0
Lebanon,Male,8.0
Mali,Total,33.0
Mali,Female,33.0
Mali,Male,33.0
Mali,Poorest 20%,33.0
Mali,Richest 20%,36.0
Mongolia,Total,9.0
Mongolia,Female,8.0
Mongolia,Male,9.0
Mongolia,Poorest 20%,10.0
Mongolia,Richest 20%,6.0
Montenegro,Total,6.0
Montenegro,Female,5.0
Montenegro,Male,8.0
Montenegro,Poorest 20%,11.0
Montenegro,Richest 20%,3.0
Morocco,Total,9.0
Morocco,Female,9.0
Morocco,Male,9.0
Morocco,Poorest 20%,11.0
Morocco,Richest 20%,6.0
Mozambique,Total,33.0
Mozambique,Female,32.0
Mozambique,Male,33.0
Nigeria,Total,38.0
Nigeria,Female,37.0
Nigeria,Male,38.0
Nigeria,Poorest 20%,41.0
Nigeria,Richest 20%,32.0
Serbia,Total,1.0
