Country or Area,Subgroup,Year,Source,Unit,Father's support for learning,Father's support for learning Footnotes
Afghanistan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,62.0,1.0
Albania,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,53.0,1.0
Bangladesh,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,53.0,1.0
Belarus,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,72.0,1.0
Belize,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,50.0,1.0
Bhutan,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,51.0,1.0
Bosnia and Herzegovina,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,74.0,1.0
Burkina Faso,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,24.0,1.0
Burundi,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,20.0,1.0
Cameroon,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,39.0,1.0
Central African Republic,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,42.0,1.0
Chad,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,29.0,1.0
Côte d'Ivoire,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,40.0,1.0
Democratic People's Republic of Korea,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,75.0,1.0
Democratic Republic of the Congo,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,36.0,1.0
Djibouti,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,23.0,1.0
Gambia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,21.0,1.0
Georgia,Total,2005-2011,UN_Multiple Indicator Cluster Surveys (MICS) and other national surveys,Percent,61.0,1.0
