Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children immunised against TB (BCG),Proportion of 1 year-old children immunised against TB (BCG) Footnotes
Afghanistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,68.0,
Albania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Algeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Angola,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,
Argentina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Armenia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Azerbaijan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,82.0,
Bangladesh,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Belarus,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Belize,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Benin,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,
Bhutan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Bolivia (Plurinational State of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Bosnia and Herzegovina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Botswana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Brazil,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Brunei Darussalam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,
Bulgaria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Burkina Faso,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Burundi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Cambodia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Cameroon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,80.0,
Cape Verde,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
CEE/CIS,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Central African Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,74.0,
Chad,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,53.0,
Chile,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
China,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Colombia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,
Comoros,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,76.0,
Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Cook Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Costa Rica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,
Côte d'Ivoire,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,74.0,
Croatia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Cuba,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Democratic People's Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Democratic Republic of the Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,67.0,
Djibouti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Dominica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Dominican Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
East Asia and Pacific,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Eastern and Southern Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,1.0
