Country or Area,Year,Average annual rate of reduction of under-five mortality rate,Average annual rate of reduction of under-five mortality rate Footnotes
Afghanistan,2000-2011,2.7,1
Afghanistan,1990-2011,3.1,1
Afghanistan,1990-2000,3.4,1
Afghanistan,1970-1990,2.4,1
Albania,2000-2011,5.5,1
Albania,1990-2011,5,1
Albania,1990-2000,4.5,1
Algeria,2000-2011,3.9,1
Algeria,1990-2011,3.8,1
Algeria,1990-2000,3.6,1
Algeria,1970-1990,5.5,1
Andorra,2000-2011,3.8,1
Andorra,1990-2011,4.4,1
Andorra,1990-2000,5.1,1
Angola,2000-2011,2.1,1
Angola,1990-2011,2.1,1
Angola,1990-2000,2,1
Antigua and Barbuda,2000-2011,6.1,1
Antigua and Barbuda,1990-2011,6,1
Antigua and Barbuda,1990-2000,5.9,1
Argentina,2000-2011,3.3,1
Argentina,1990-2011,3.2,1
Argentina,1990-2000,3.1,1
Argentina,1970-1990,3.7,1
Armenia,2000-2011,4.8,1
Armenia,1990-2011,4.7,1
Armenia,1990-2000,4.6,1
Australia,2000-2011,2.9,1
Australia,1990-2011,3.4,1
Australia,1990-2000,3.8,1
Australia,1970-1990,4.2,1
Austria,2000-2011,2.6,1
Austria,1990-2011,3.8,1
Austria,1990-2000,5.2,1
Austria,1970-1990,5.6,1
Azerbaijan,2000-2011,3.9,1
Azerbaijan,1990-2011,3.6,1
Azerbaijan,1990-2000,3.2,1
Bahamas,2000-2011,0.4,1
Bahamas,1990-2011,1.4,1
Bahamas,1990-2000,2.6,1
Bahamas,1970-1990,1.8,1
Bahrain,2000-2011,2,1
Bahrain,1990-2011,3.4,1
Bahrain,1990-2000,5,1
Bahrain,1970-1990,6.9,1
Bangladesh,2000-2011,5.5,1
Bangladesh,1990-2011,5.3,1
Bangladesh,1990-2000,5,1
Bangladesh,1970-1990,2.4,1
Barbados,2000-2011,-1.2,1
Barbados,1990-2011,-0.5,1
Barbados,1990-2000,0.4,1
Barbados,1970-1990,4.8,1
Belarus,2000-2011,8.1,1
Belarus,1990-2011,5.3,1
Belarus,1990-2000,2.3,1
Belgium,2000-2011,2.7,1
Belgium,1990-2011,4,1
Belgium,1990-2000,5.4,1
Belgium,1970-1990,4.3,1
Belize,2000-2011,4,1
Belize,1990-2011,4.5,1
Belize,1990-2000,5.1,1
Benin,2000-2011,2.5,1
Benin,1990-2011,2.4,1
Benin,1990-2000,2.4,1
Benin,1970-1990,1.9,1
Bhutan,2000-2011,4.6,1
Bhutan,1990-2011,4.5,1
Bhutan,1990-2000,4.4,1
Bhutan,1970-1990,3.6,1
Bolivia (Plurinational State of),2000-2011,4.3,1
Bolivia (Plurinational State of),1990-2011,4.1,1
Bolivia (Plurinational State of),1990-2000,3.9,1
Bolivia (Plurinational State of),1970-1990,3.2,1
Bosnia and Herzegovina,2000-2011,2,1
Bosnia and Herzegovina,1990-2011,4.3,1
Bosnia and Herzegovina,1990-2000,6.7,1
Botswana,2000-2011,10.4,1
Botswana,1990-2011,3.4,1
Botswana,1990-2000,-4.3,1
Botswana,1970-1990,4.5,1
Brazil,2000-2011,7.5,1
Brazil,1990-2011,6.3,1
Brazil,1990-2000,4.9,1
Brazil,1970-1990,4,1
Brunei Darussalam,2000-2011,2.6,1
Brunei Darussalam,1990-2011,2.6,1
Brunei Darussalam,1990-2000,2.5,1
Bulgaria,2000-2011,4.9,1
Bulgaria,1990-2011,2.9,1
Bulgaria,1990-2000,0.7,1
Bulgaria,1970-1990,2.9,1
Burkina Faso,2000-2011,2,1
Burkina Faso,1990-2011,1.7,1
Burkina Faso,1990-2000,1.4,1
Burkina Faso,1970-1990,1.7,1
Burundi,2000-2011,1.5,1
Burundi,1990-2011,1.3,1
Burundi,1990-2000,1,1
Burundi,1970-1990,1.1,1
Cambodia,2000-2011,7.9,1
Cambodia,1990-2011,4.8,1
Cambodia,1990-2000,1.4,1
Cameroon,2000-2011,0.8,1
Cameroon,1990-2011,0.6,1
Cameroon,1990-2000,0.4,1
Cameroon,1970-1990,1.8,1
Canada,2000-2011,0.9,1
Canada,1990-2011,1.9,1
Canada,1990-2000,2.9,1
Canada,1970-1990,4.9,1
Cape Verde,2000-2011,5.5,1
Cape Verde,1990-2011,4.8,1
Cape Verde,1990-2000,4,1
Cape Verde,1970-1990,5.1,1
CEE/CIS,2000-2011,4.6,2
CEE/CIS,1990-2011,3.9,2
CEE/CIS,1990-2000,3.2,2
CEE/CIS,1970-1990,3.1,2
Central African Republic,2000-2011,0.5,1
Central African Republic,1990-2011,0.2,1
Central African Republic,1990-2000,-0.2,1
Central African Republic,1970-1990,1.5,1
Chad,2000-2011,1,1
Chad,1990-2011,1,1
Chad,1990-2000,1,1
Chad,1970-1990,1.1,1
Chile,2000-2011,2,1
Chile,1990-2011,3.6,1
Chile,1990-2000,5.5,1
Chile,1970-1990,7.4,1
China,2000-2011,7.9,1
China,1990-2011,5.8,1
China,1990-2000,3.3,1
China,1970-1990,4.3,1
Colombia,2000-2011,3.1,1
Colombia,1990-2011,3.2,1
Colombia,1990-2000,3.2,1
Colombia,1970-1990,5.6,1
Comoros,2000-2011,2.1,1
Comoros,1990-2011,2,1
Comoros,1990-2000,2,1
Comoros,1970-1990,2.9,1
Congo,2000-2011,0.9,1
Congo,1990-2011,0.9,1
Congo,1990-2000,0.9,1
Congo,1970-1990,1.2,1
Cook Islands,2000-2011,5.3,1
Cook Islands,1990-2011,3.3,1
Cook Islands,1990-2000,1.1,1
Cook Islands,1970-1990,5.8,1
Costa Rica,2000-2011,2.2,1
Costa Rica,1990-2011,2.5,1
Costa Rica,1990-2000,2.9,1
Costa Rica,1970-1990,7.1,1
Côte d'Ivoire,2000-2011,1.7,1
Côte d'Ivoire,1990-2011,1.3,1
Côte d'Ivoire,1990-2000,0.9,1
Côte d'Ivoire,1970-1990,2.2,1
Croatia,2000-2011,4.5,1
Croatia,1990-2011,4.4,1
Croatia,1990-2000,4.3,1
Cuba,2000-2011,3.5,1
Cuba,1990-2011,4,1
Cuba,1990-2000,4.5,1
Cuba,1970-1990,5.6,1
Cyprus,2000-2011,6.7,1
Cyprus,1990-2011,6,1
Cyprus,1990-2000,5.3,1
Czech Republic,2000-2011,4.9,1
Czech Republic,1990-2011,6.2,1
Czech Republic,1990-2000,7.6,1
Democratic People's Republic of Korea,2000-2011,5,1
Democratic People's Republic of Korea,1990-2011,1.4,1
Democratic People's Republic of Korea,1990-2000,-2.5,1
Democratic Republic of the Congo,2000-2011,0.7,1
Democratic Republic of the Congo,1990-2011,0.4,1
Democratic Republic of the Congo,1990-2000,0,1
Democratic Republic of the Congo,1970-1990,1.5,1
Denmark,2000-2011,3.8,1
Denmark,1990-2011,4.1,1
Denmark,1990-2000,4.4,1
Denmark,1970-1990,3.2,1
Djibouti,2000-2011,1.5,1
Djibouti,1990-2011,1.5,1
Djibouti,1990-2000,1.4,1
Dominica,2000-2011,2.1,1
Dominica,1990-2011,1.8,1
Dominica,1990-2000,1.6,1
Dominica,1970-1990,5.7,1
Dominican Republic,2000-2011,4,1
Dominican Republic,1990-2011,4.1,1
Dominican Republic,1990-2000,4.1,1
Dominican Republic,1970-1990,3.7,1
East Asia and Pacific,2000-2011,5.9,2
East Asia and Pacific,1990-2011,4.7,2
East Asia and Pacific,1990-2000,3.4,2
East Asia and Pacific,1970-1990,3.9,2
Eastern and Southern Africa,2000-2011,4.3,2
Eastern and Southern Africa,1990-2011,3.1,2
Eastern and Southern Africa,1990-2000,1.8,2
Eastern and Southern Africa,1970-1990,1.4,2
Ecuador,2000-2011,3.7,1
Ecuador,1990-2011,4,1
Ecuador,1990-2000,4.3,1
Ecuador,1970-1990,4.8,1
Egypt,2000-2011,6.8,1
Egypt,1990-2011,6.7,1
Egypt,1990-2000,6.6,1
Egypt,1970-1990,5.1,1
El Salvador,2000-2011,7.3,1
El Salvador,1990-2011,6.6,1
El Salvador,1990-2000,5.7,1
El Salvador,1970-1990,4.8,1
Equatorial Guinea,2000-2011,2.3,1
Equatorial Guinea,1990-2011,2.3,1
Equatorial Guinea,1990-2000,2.2,1
Eritrea,2000-2011,3.4,1
Eritrea,1990-2011,3.4,1
Eritrea,1990-2000,3.4,1
Eritrea,1970-1990,2.9,1
Estonia,2000-2011,9.7,1
Estonia,1990-2011,8.1,1
Estonia,1990-2000,6.2,1
Ethiopia,2000-2011,5.3,1
Ethiopia,1990-2011,4.5,1
Ethiopia,1990-2000,3.6,1
Ethiopia,1970-1990,0.7,1
Fiji,2000-2011,2.8,1
Fiji,1990-2011,2.8,1
Fiji,1990-2000,2.8,1
Fiji,1970-1990,2.9,1
Finland,2000-2011,3.6,1
Finland,1990-2011,4,1
Finland,1990-2000,4.4,1
Finland,1970-1990,4.4,1
France,2000-2011,2.5,1
France,1990-2011,3.6,1
France,1990-2000,4.9,1
France,1970-1990,3.6,1
Gabon,2000-2011,2.1,1
Gabon,1990-2011,1.7,1
Gabon,1990-2000,1.4,1
Gambia,2000-2011,2.4,1
Gambia,1990-2011,2.3,1
Gambia,1990-2000,2.3,1
Gambia,1970-1990,2.8,1
Georgia,2000-2011,4.2,1
Georgia,1990-2011,3.9,1
Georgia,1990-2000,3.6,1
Germany,2000-2011,2.7,1
Germany,1990-2011,3.6,1
Germany,1990-2000,4.5,1
Germany,1970-1990,5.6,1
Ghana,2000-2011,2.2,1
Ghana,1990-2011,2.1,1
Ghana,1990-2000,2,1
Ghana,1970-1990,2.1,1
Greece,2000-2011,5.1,1
Greece,1990-2011,5,1
Greece,1990-2000,5,1
Greece,1970-1990,5.5,1
Grenada,2000-2011,1.9,1
Grenada,1990-2011,2.4,1
Grenada,1990-2000,2.9,1
Guatemala,2000-2011,4.2,1
Guatemala,1990-2011,4.5,1
Guatemala,1990-2000,4.8,1
Guatemala,1970-1990,4,1
Guinea,2000-2011,3,1
Guinea,1990-2011,2.8,1
Guinea,1990-2000,2.7,1
