Country or Area,Subgroup,Year,Source,Unit,Proportion of population in malaria risk areas using effective malaria treatment measures,Proportion of population in malaria risk areas using effective malaria treatment measures Footnotes
Côte d'Ivoire,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,18.0,1.0
Democratic Republic of the Congo,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,39.0,1.0
Djibouti,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,1.0
Eastern and Southern Africa,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,31.0,3.0
Equatorial Guinea,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,49.0,2.0
Eritrea,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,13.0,1.0
Ethiopia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,10.0,1.0
Gambia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,30.0,1.0
Ghana,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,53.0,1.0
Guinea,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,74.0,1.0
Guinea-Bissau,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,51.0,1.0
Guyana,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,6.0,1.0
Haiti,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,5.0,2.0
Honduras,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,2.0
India,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,2.0
Indonesia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,1.0
Iraq,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,2.0
Kenya,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,23.0,1.0
Lao People's Democratic Republic,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,2.0
Least Developed Countries/Territories,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,36.0,3.0
Liberia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,57.0,1.0
Madagascar,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,20.0,1.0
Malawi,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,43.0,1.0
Mali,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,35.0,1.0
Mauritania,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,21.0,1.0
Mozambique,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,30.0,1.0
Namibia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,20.0,1.0
Nepal,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,1.0
Nicaragua,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,2.0,2.0
Nigeria,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,49.0,1.0
Pakistan,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,3.0,1.0
Philippines,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,0.0,2.0
Rwanda,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,11.0,1.0
Sao Tome and Principe,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,1.0
Senegal,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,1.0
Sierra Leone,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,62.0,1.0
Solomon Islands,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,19.0,1.0
Somalia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,8.0,2.0
South Asia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,7.0,3.0
South Sudan,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,36.0,4.0
Sri Lanka,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,0.0,1.0
Sub-Saharan Africa,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,38.0,3.0
Sudan,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,65.0,4.0
Swaziland,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,2.0,1.0
Tajikistan,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,2.0,2.0
Timor-Leste,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,6.0,1.0
Togo,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,34.0,1.0
Uganda,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,65.0,1.0
United Republic of Tanzania,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,59.0,1.0
Vanuatu,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,53.0,1.0
Viet Nam,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,1.0,1.0
Western and Central Africa,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,42.0,3.0
World,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,19.0,5.0
Zambia,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,34.0,1.0
Zimbabwe,Total <5 yr,2007-2012,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), Malaria Indicator Surveys (MIS) and other national surveys",Percent,2.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
4,"Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
5,"Data refer to the most recent year available during the period specified in the column heading. Excludes China. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
