Country or Area,Subgroup,Year,Source,Unit,Proportion of population below $1.25 (PPP) per day,Proportion of population below $1.25 (PPP) per day Footnotes
Romania,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Russian Federation,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Rwanda,Total,2006-2011,UN_World Bank,Percent,63.0,1.0
Sao Tome and Principe,Total,2006-2011,UN_World Bank,Percent,28.0,2.0
Senegal,Total,2006-2011,UN_World Bank,Percent,34.0,2.0
Serbia,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Seychelles,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Sierra Leone,Total,2006-2011,UN_World Bank,Percent,53.0,2.0
Slovakia,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Slovenia,Total,2006-2011,UN_World Bank,Percent,0.0,2.0
South Africa,Total,2006-2011,UN_World Bank,Percent,14.0,1.0
South Asia,Total,2006-2011,UN_World Bank,Percent,32.0,3.0
Sri Lanka,Total,2006-2011,UN_World Bank,Percent,7.0,1.0
State of Palestine,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Sub-Saharan Africa,Total,2006-2011,UN_World Bank,Percent,53.0,3.0
Sudan (pre-cession),Total,2006-2011,UN_World Bank,Percent,20.0,4.0
Swaziland,Total,2006-2011,UN_World Bank,Percent,41.0,1.0
Syrian Arab Republic,Total,2006-2011,UN_World Bank,Percent,2.0,2.0
Tajikistan,Total,2006-2011,UN_World Bank,Percent,7.0,1.0
Thailand,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
The former Yugoslav Republic of Macedonia,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Timor-Leste,Total,2006-2011,UN_World Bank,Percent,37.0,1.0
Togo,Total,2006-2011,UN_World Bank,Percent,39.0,1.0
Tunisia,Total,2006-2011,UN_World Bank,Percent,1.0,2.0
Turkey,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Uganda,Total,2006-2011,UN_World Bank,Percent,38.0,1.0
Ukraine,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
United Republic of Tanzania,Total,2006-2011,UN_World Bank,Percent,68.0,1.0
Uruguay,Total,2006-2011,UN_World Bank,Percent,0.0,1.0
Venezuela (Bolivarian Republic of),Total,2006-2011,UN_World Bank,Percent,7.0,1.0
Viet Nam,Total,2006-2011,UN_World Bank,Percent,17.0,1.0
Western and Central Africa,Total,2006-2011,UN_World Bank,Percent,59.0,3.0
World,Total,2006-2011,UN_World Bank,Percent,22.0,3.0
Yemen,Total,2006-2011,UN_World Bank,Percent,18.0,2.0
Zambia,Total,2006-2011,UN_World Bank,Percent,69.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages.,,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
4,"Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
