Country or Area,Subgroup,Year,Source,Unit,Ratio of adult literacy rate of females to males,Ratio of adult literacy rate of females to males Footnotes
Albania,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Algeria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,79.0,2.0
Angola,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,70.0,1.0
Antigua and Barbuda,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Argentina,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Armenia,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Azerbaijan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Bahrain,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Bangladesh,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,85.0,1.0
Belarus,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Benin,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,55.0,1.0
Bhutan,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,59.0,2.0
Bolivia (Plurinational State of),Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,91.0,1.0
Bosnia and Herzegovina,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Botswana,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,101.0,1.0
Brazil,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,100.0,1.0
Brunei Darussalam,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,97.0,1.0
Bulgaria,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,99.0,1.0
Burkina Faso,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,59.0,1.0
Burundi,Total 15+ yr,2007-2011,UN_UNESCO Institute for Statistics (UIS),Ratio,85.0,1.0
