Country or Area,Reduction in under-five mortality rate_1990.0,Reduction in under-five mortality rate_2000.0
Afghanistan,47.0,26.0
Albania,65.0,46.0
Algeria,55.0,35.0
Andorra,60.0,34.0
Angola,35.0,21.0
Antigua and Barbuda,72.0,49.0
Argentina,49.0,31.0
Armenia,63.0,41.0
Australia,51.0,27.0
Austria,55.0,25.0
Azerbaijan,53.0,35.0
Bahamas,26.0,4.0
Bahrain,51.0,19.0
Bangladesh,67.0,45.0
Barbados,-10.0,-15.0
Belarus,67.0,59.0
Belgium,57.0,26.0
Belize,62.0,36.0
Benin,40.0,24.0
Bhutan,61.0,40.0
Bolivia (Plurinational State of),58.0,37.0
Bosnia and Herzegovina,59.0,20.0
Botswana,51.0,68.0
Brazil,73.0,56.0
Brunei Darussalam,41.0,25.0
Bulgaria,45.0,42.0
Burkina Faso,30.0,19.0
Burundi,24.0,15.0
CEE/CIS,56.0,40.0
Cambodia,64.0,58.0
Cameroon,12.0,9.0
Canada,33.0,10.0
Cape Verde,63.0,45.0
Central African Republic,3.0,5.0
Chad,19.0,10.0
Chile,53.0,19.0
China,70.0,58.0
Colombia,48.0,29.0
Comoros,35.0,20.0
Congo,17.0,9.0
Cook Islands,50.0,44.0
Costa Rica,41.0,22.0
Croatia,60.0,39.0
Cuba,56.0,32.0
Cyprus,72.0,52.0
Czech Republic,73.0,42.0
Côte d'Ivoire,24.0,17.0
Democratic People's Republic of Korea,26.0,42.0
Democratic Republic of the Congo,8.0,8.0
Denmark,57.0,34.0
Djibouti,26.0,15.0
Dominica,32.0,21.0
Dominican Republic,58.0,36.0
East Asia and Pacific,63.0,48.0
Eastern and Southern Africa,48.0,38.0
Ecuador,56.0,33.0
Egypt,75.0,52.0
El Salvador,75.0,55.0
Equatorial Guinea,38.0,22.0
Eritrea,51.0,31.0
Estonia,82.0,66.0
Ethiopia,61.0,44.0
Fiji,45.0,26.0
Finland,57.0,33.0
France,53.0,24.0
Gabon,31.0,20.0
Gambia,39.0,23.0
Georgia,56.0,37.0
Germany,53.0,26.0
Ghana,36.0,21.0
Greece,65.0,43.0
Grenada,39.0,18.0
Guatemala,61.0,37.0
Guinea,45.0,28.0
Guinea-Bissau,24.0,14.0
Guyana,43.0,27.0
Haiti,51.0,31.0
Honduras,61.0,39.0
Hungary,66.0,43.0
Iceland,60.0,36.0
India,46.0,30.0
Indonesia,61.0,39.0
Iran (Islamic Republic of),59.0,43.0
Iraq,18.0,11.0
Ireland,56.0,43.0
Israel,63.0,38.0
Italy,62.0,34.0
Jamaica,47.0,28.0
Japan,47.0,24.0
Jordan,44.0,26.0
Kazakhstan,50.0,33.0
Kenya,26.0,36.0
Kiribati,46.0,27.0
Kuwait,36.0,14.0
Kyrgyzstan,56.0,35.0
Lao People's Democratic Republic,72.0,48.0
Latin America and Caribbean,64.0,44.0
Latvia,60.0,52.0
Least Developed Countries/Territories,43.0,28.0
Lebanon,72.0,51.0
Lesotho,2.0,27.0
Liberia,68.0,52.0
Libya,63.0,40.0
Lithuania,67.0,52.0
Luxembourg,62.0,35.0
Madagascar,62.0,41.0
Malawi,64.0,50.0
Malaysia,62.0,39.0
Maldives,90.0,80.0
Mali,32.0,18.0
Malta,48.0,24.0
Marshall Islands,50.0,30.0
Mauritania,10.0,5.0
Mauritius,37.0,19.0
Mexico,68.0,46.0
Micronesia (Federated States of),26.0,15.0
Middle East and North Africa,50.0,30.0
Monaco,50.0,24.0
Mongolia,71.0,52.0
Montenegro,59.0,43.0
Morocco,60.0,38.0
Mozambique,54.0,40.0
Myanmar,42.0,25.0
Namibia,43.0,44.0
Nauru,0.0,0.0
Nepal,64.0,42.0
Netherlands,52.0,35.0
New Zealand,47.0,20.0
Nicaragua,61.0,39.0
Niger,60.0,42.0
